tanggal,harga
2021-04-16,47666.67
2021-04-17,47333.33
2021-04-18,46666.67
2021-04-19,47333.33
2021-04-20,45000.0
2021-04-21,44666.67
2021-04-22,44666.67
2021-04-23,44666.67
2021-04-24,43000.0
2021-04-25,41000.0
2021-04-26,38333.33
2021-04-27,37333.33
2021-04-28,34000.0
2021-04-29,34000.0
2021-04-30,33666.67
2021-05-01,33333.33
2021-05-02,33000.0
2021-05-03,32666.67
2021-05-04,35333.33
2021-05-05,35666.67
2021-05-06,37333.33
2021-05-07,37333.33
2021-05-08,38000.0
2021-05-09,44000.0
2021-05-10,45666.67
2021-05-11,46000.0
2021-05-12,41666.67
2021-05-13,42666.67
2021-05-14,42666.67
2021-05-15,38333.33
2021-05-16,39333.33
2021-05-17,33333.33
2021-05-18,29333.33
2021-05-19,27333.33
2021-05-20,26333.33
2021-05-21,25333.33
2021-05-22,24000.0
2021-05-23,23000.0
2021-05-24,23000.0
2021-05-25,22666.67
2021-05-26,22666.67
2021-05-27,22333.33
2021-05-28,22333.33
2021-05-29,22333.33
2021-05-30,21333.33
2021-05-31,21333.33
2021-06-01,20666.67
2021-06-02,20666.67
2021-06-03,19666.67
2021-06-04,19333.33
2021-06-05,19666.67
2021-06-06,19000.0
2021-06-07,18666.67
2021-06-08,18666.67
2021-06-09,19000.0
2021-06-10,19000.0
2021-06-11,18333.33
2021-06-12,17666.67
2021-06-13,17666.67
2021-06-14,18000.0
2021-06-15,17666.67
2021-06-16,16666.67
2021-06-17,17666.67
2021-06-18,17666.67
2021-06-19,17666.67
2021-06-20,18000.0
2021-06-21,18000.0
2021-06-22,18000.0
2021-06-23,16666.67
2021-06-24,18000.0
2021-06-25,17000.0
2021-06-26,17000.0
2021-06-27,17000.0
2021-06-28,17333.33
2021-06-29,17333.33
2021-06-30,17666.67
2021-07-01,16666.67
2021-07-02,16666.67
2021-07-03,15666.67
2021-07-04,15666.67
2021-07-05,16000.0
2021-07-06,15666.67
2021-07-07,15333.33
2021-07-08,14333.33
2021-07-09,15666.67
2021-07-10,15000.0
2021-07-11,15666.67
2021-07-12,16000.0
2021-07-13,18000.0
2021-07-14,14333.33
2021-07-15,14333.33
2021-07-16,16333.33
2021-07-17,16333.33
2021-07-18,17333.33
2021-07-19,18333.33
2021-07-20,17666.67
2021-07-21,17666.67
2021-07-22,16666.67
2021-07-23,16333.33
2021-07-24,16333.33
2021-07-25,16333.33
2021-07-26,16666.67
2021-07-27,16000.0
2021-07-28,15666.67
2021-07-29,15666.67
2021-07-30,14333.33
2021-07-31,14333.33
2021-08-01,14333.33
